city,province,Latitude,Longitude
اهرم,بوشهر,28.8830282,51.2742019
اهل,فارس,27.2112114,53.6588384
اهواز,خوزستان,31.3229936,48.6793316
آوا,خراسان شمالی,37.4777242,56.7394623
آواجیق,آذربایجان غربی,39.3301839,44.1538901
ایوان,ایلام,33.8282411,46.3096374
ایوانکی,سمنان,35.3439147,52.069887
ایواوغلی,آذربایجان غربی,38.7139034,45.206595
آوج,قزوین,35.5787119,49.2235344
ایور,خراسان شمالی,36.9696847,56.2592355
اورامان تخت,کردستان,35.2526,46.2624
اوز,فارس,27.7625325,54.0051497
آوه,مركزی,34.7925793,50.4224038
باباحیدر,چهارمحال و بختیاری,32.3214462,50.44157603288327
بابارشانی,کردستان,35.6791869,47.7983782
بابامنیر,فارس,30.0724542,51.2059662
باب انار,فارس,28.9670095,53.2127701
بابل,مازندران,36.5452581,52.6846571
بابلسر,مازندران,36.7008777,52.6481047
باجگیران,خراسان رضوی,37.6219339,58.4182541
باخرز,خراسان رضوی,34.9941781,60.3148224
بادرود,اصفهان,33.6565504,52.0321996
بادوله,بوشهر,28.3963734,51.5007714
بار,خراسان رضوی,36.4897198,58.7161898
بیارجمند,سمنان,36.0790243,55.8098841
باروق,آذربایجان غربی,36.9546339,46.3247366
بازار جمعه,گیلان,37.4058797,49.1199769
بازرگان,آذربایجان غربی,39.3886668,44.3876859
بازفت,چهارمحال و بختیاری,32.3896381,49.93890848326917
باسمنج,آذربایجان شرقی,37.9955619,46.4749113
باشت,کهگیلویه و بویراحمد,,
باغ بهادران,اصفهان,32.3762181,51.1890059
باغستان,تهران,35.635564,51.1346204
باغشاد,اصفهان,32.3837155,51.2325317
باغ ملک,خوزستان,31.5247494,49.8868966
باغین,كرمان,30.187107,56.8176548
بافت,كرمان,29.2340169,56.6056569
بافران,اصفهان,32.8398145,53.1410521
بافق,یزد,31.5997065,55.3966892
باقرشهر,تهران,35.5338489,51.4053842
بایک,خراسان رضوی,,
بالاده,فارس,29.2869221,51.9394109
باینگان,کرمانشاه,34.9813,46.2709
بانه,کردستان,35.9946631,45.8843225
بانوره,کرمانشاه,34.970525,46.3600038
بیجار,کردستان,35.8720805,47.5999996
بجستان,خراسان رضوی,34.5163087,58.1834619
بجنورد,خراسان شمالی,37.4759752,57.3319881
بخشایش,آذربایجان شرقی,38.131648,46.9471214
بیدخت,خراسان رضوی,34.3463245,58.7573243
بدره,ایلام,33.3060497,47.0385999
بیدروبه,خوزستان,32.7611171,48.2373019
بیدستان,قزوین,36.2299677,50.1234128
برازجان,بوشهر,29.2661428,51.2120597
بیران شهر,لرستان,33.6485949,48.5597292
بیرجند,خراسان جنوبی,32.8633961,59.2177294
بردخون,بوشهر,28.0623996,51.4771795
بردستان,بوشهر,27.874025,51.9596196
بردسیر,كرمان,29.9283973,56.5717384
بردسکن,خراسان رضوی,35.2611338,57.9685311
برده رشه,کردستان,36.1966547,46.8467267
برزک,اصفهان,33.7828104,51.2252965
برزول,همدان,34.2128467,48.2600728
برف انبار,اصفهان,33.0022943,50.1956911
بیرم,فارس,27.4298807,53.5141478
بره سر,گیلان,36.7738197,49.7547696
بروات,كرمان,28.9857835,58.36547840671756
بروجرد,لرستان,33.8943281,48.7560936
بروجن,چهارمحال و بختیاری,31.9719093,51.291596
بزمان,سیستان و بلوچستان,27.850547,60.1736164
